bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win,regime_viterbi,regime_smoothed_prob,regime_prob_BREAKOUT,regime_prob_PULLBACK,regime_prob_CHOPZONE,regime_prob_COMPRESSION
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0,PULLBACK,0.9999994740604335,2.629698064165066e-07,0.9999994740604335,9.861377257106767e-08,1.6435598745232126e-07
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0,PULLBACK,0.999999585056659,2.0747168711406563e-07,0.999999585056659,7.780194865146757e-08,1.296697051689034e-07
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0,PULLBACK,0.9999996700755747,1.6496220964453014e-07,0.9999996700755747,6.186089212058724e-08,1.031013236062687e-07
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,6,0,PULLBACK,0.9999997200456318,1.3215663339660608e-07,0.9999997200456318,6.519985996957555e-08,8.259787489985191e-08
82,S6_2,2,descending,converging,0.4555,6.75174,high,london,2975.25,2978.42,2973.48,LOSS,-0.5,1,0,PULLBACK,0.9999997193166517,1.0542183121592369e-07,0.9999997193166517,1.0933056322497593e-07,6.593095381062274e-08
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0,PULLBACK,0.9994886395501448,3.1343998254656717e-06,0.9994886395501448,0.0005078039278810183,4.221221488270063e-07
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0,PULLBACK,0.9995152381700008,3.204684437859118e-06,0.9995152381700008,0.00048119054918016515,3.665963812976663e-07
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,WIN,3.0,8,1,PULLBACK,0.999128199586281,3.1752689877121274e-05,0.999128199586281,0.0008396742124821718,3.7351135972172365e-07
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0,BREAKOUT,0.9169875651098689,0.9169875651098689,0.08301243468296216,1.020134901131805e-10,1.051553983043466e-10
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0,BREAKOUT,0.9801445142363062,0.9801445142363062,0.019855485703824564,2.7451291842378126e-11,3.241798632004423e-11
104,S7_2,2,descending,diverging,0.8871,5.78199,low,london,2950.75,2953.55,2949.19,LOSS,-0.5,1,0,BREAKOUT,0.9265905329380796,0.9265905329380796,0.07340946685099208,7.909814185079724e-11,1.3183013237672816e-10
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0,PULLBACK,0.9999943116104362,5.572057783080437e-06,0.9999943116104362,4.362443561924945e-08,7.270734510265489e-08
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0,PULLBACK,0.9999994350754265,5.054316257800155e-07,0.9999994350754265,2.230987244827251e-08,3.7183075333145453e-08
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0,PULLBACK,0.9999994733152308,4.62920587117312e-07,0.9999994733152308,3.3670904933318466e-08,3.009327720594466e-08
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0,PULLBACK,0.999999498175065,4.244206128856985e-07,0.999999498175065,5.2887092703613764e-08,2.4517229487037172e-08
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0,PULLBACK,0.9999995081736022,3.8949737621225094e-07,0.9999995081736022,8.222553852765288e-08,2.010348311002915e-08
125,S8_2,2,ascending,diverging,0.3306,7.37404,high,other,2996.76,2997.91,2995.6,LOSS,-0.5,1,0,PULLBACK,0.9999994990361176,3.5778791197819835e-07,0.9999994990361176,1.2658761477162457e-07,1.6588355738425013e-08
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,WIN,3.0,16,1,PULLBACK,0.9999936209804917,4.853286984474835e-07,0.9999936209804917,5.5903459943721484e-06,3.0334481549253585e-07
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,LOSS,-0.5,2,0,PULLBACK,0.9999839936799183,3.226587945701438e-07,0.9999839936799183,1.5481971640764357e-05,2.0168964631541272e-07
