bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,LOSS,-0.5,2,0
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,LOSS,-0.5,1,0
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,4,0
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,5,0
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,3,0
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,3,0
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,3,0
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,3,0
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,2,0
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,2,0
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,2,0
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,WIN,3.0,15,1
284,S22_2,2,descending,converging,0.3233,7.38714,high,other,3076.38,3076.74,3075.57,LOSS,-0.5,2,0
284,S22_2,2,descending,converging,0.3233,7.38714,high,other,3076.38,3076.74,3075.57,LOSS,-0.5,7,0
284,S22_2,2,descending,converging,0.3233,7.38714,high,other,3076.38,3076.74,3075.57,LOSS,-0.5,2,0
284,S22_2,2,descending,converging,0.3233,7.38714,high,other,3076.38,3076.74,3075.57,LOSS,-0.5,7,0
284,S22_2,2,descending,converging,0.3233,7.38714,high,other,3076.38,3076.74,3075.57,LOSS,-0.5,2,0
