bar_index,entry_regime,pnl_pct,r_multiple,exit_reason
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,BREAKOUT,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
63,PULLBACK,-0.0010143693083657166,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
