timestamp,open,high,low,close,volume
2025-12-11 01:09:00+00:00,156.046,156.054,156.031,156.054,0
2025-12-11 01:10:00+00:00,156.054,156.066,156.049,156.064,0
2025-12-11 01:11:00+00:00,156.059,156.071,156.05,156.071,0
2025-12-11 01:12:00+00:00,156.067,156.076,156.061,156.074,0
2025-12-11 01:13:00+00:00,156.075,156.078,156.072,156.072,0
2025-12-11 01:14:00+00:00,156.073,156.075,156.057,156.058,0
2025-12-11 01:15:00+00:00,156.058,156.06,156.044,156.054,0
2025-12-11 01:16:00+00:00,156.055,156.071,156.052,156.071,0
2025-12-11 01:17:00+00:00,156.069,156.077,156.06,156.075,0
2025-12-11 01:18:00+00:00,156.072,156.072,156.064,156.07,0
2025-12-11 01:19:00+00:00,156.071,156.099,156.071,156.097,0
2025-12-11 01:20:00+00:00,156.099,156.131,156.099,156.118,0
2025-12-11 01:21:00+00:00,156.118,156.128,156.115,156.128,0
2025-12-11 01:22:00+00:00,156.13,156.134,156.124,156.129,0
2025-12-11 01:23:00+00:00,156.131,156.131,156.116,156.124,0
2025-12-11 01:24:00+00:00,156.123,156.132,156.119,156.131,0
2025-12-11 01:25:00+00:00,156.131,156.153,156.131,156.149,0
2025-12-11 01:26:00+00:00,156.149,156.163,156.123,156.123,0
2025-12-11 01:27:00+00:00,156.124,156.125,156.108,156.111,0
2025-12-11 01:28:00+00:00,156.11,156.118,156.109,156.109,0
2025-12-11 01:29:00+00:00,156.108,156.108,156.087,156.095,0
2025-12-11 01:30:00+00:00,156.094,156.101,156.071,156.073,0
2025-12-11 01:31:00+00:00,156.075,156.076,156.047,156.053,0
2025-12-11 01:32:00+00:00,156.055,156.057,156.048,156.053,0
2025-12-11 01:33:00+00:00,156.051,156.054,156.036,156.054,0
2025-12-11 01:34:00+00:00,156.06,156.065,156.055,156.065,0
2025-12-11 01:35:00+00:00,156.064,156.076,156.055,156.07,0
2025-12-11 01:36:00+00:00,156.072,156.087,156.071,156.081,0
2025-12-11 01:37:00+00:00,156.082,156.101,156.077,156.089,0
2025-12-11 01:38:00+00:00,156.091,156.115,156.091,156.112,0
