timestamp,open,high,low,close,volume
2025-12-09 11:57:00+00:00,6862.833,6863.148,6862.133,6863.142,0
2025-12-09 11:58:00+00:00,6862.836,6862.836,6861.842,6861.851,0
2025-12-09 11:59:00+00:00,6862.139,6862.145,6860.842,6860.842,0
2025-12-09 12:00:00+00:00,6861.139,6862.148,6860.833,6861.136,0
2025-12-09 12:01:00+00:00,6860.899,6861.133,6859.336,6860.654,0
2025-12-09 12:02:00+00:00,6860.354,6862.154,6860.351,6861.845,0
2025-12-09 12:03:00+00:00,6862.142,6863.136,6861.854,6863.133,0
2025-12-09 12:04:00+00:00,6862.845,6863.342,6862.636,6862.699,0
2025-12-09 12:05:00+00:00,6862.899,6864.354,6862.642,6864.154,0
2025-12-09 12:06:00+00:00,6864.354,6864.648,6863.839,6864.136,0
2025-12-09 12:07:00+00:00,6863.851,6864.351,6862.354,6862.651,0
2025-12-09 12:08:00+00:00,6862.351,6862.399,6861.345,6861.851,0
2025-12-09 12:09:00+00:00,6862.154,6862.851,6861.899,6862.145,0
2025-12-09 12:10:00+00:00,6862.348,6862.348,6861.142,6861.848,0
2025-12-09 12:11:00+00:00,6862.145,6862.399,6861.636,6861.836,0
2025-12-09 12:12:00+00:00,6862.033,6862.133,6859.836,6860.148,0
2025-12-09 12:13:00+00:00,6860.399,6860.648,6860.142,6860.339,0
2025-12-09 12:14:00+00:00,6860.654,6862.139,6860.642,6860.642,0
2025-12-09 12:15:00+00:00,6860.842,6860.842,6859.636,6859.699,0
2025-12-09 12:16:00+00:00,6859.336,6860.342,6859.333,6859.651,0
2025-12-09 12:17:00+00:00,6859.751,6859.751,6858.133,6858.654,0
2025-12-09 12:18:00+00:00,6858.399,6858.851,6857.833,6858.139,0
2025-12-09 12:19:00+00:00,6857.836,6858.154,6857.339,6857.642,0
2025-12-09 12:20:00+00:00,6857.336,6857.651,6855.639,6856.848,0
2025-12-09 12:21:00+00:00,6857.145,6857.842,6856.645,6856.645,0
2025-12-09 12:22:00+00:00,6856.845,6856.845,6855.648,6855.854,0
2025-12-09 12:23:00+00:00,6855.648,6856.645,6853.899,6856.645,0
2025-12-09 12:24:00+00:00,6856.333,6857.399,6856.333,6857.399,0
2025-12-09 12:25:00+00:00,6857.651,6858.833,6857.342,6858.833,0
2025-12-09 12:26:00+00:00,6859.139,6859.399,6856.899,6858.699,0
2025-12-09 12:27:00+00:00,6858.336,6858.636,6857.145,6858.148,0
2025-12-09 12:28:00+00:00,6858.339,6858.342,6857.348,6858.139,0
2025-12-09 12:29:00+00:00,6857.851,6858.151,6857.333,6857.699,0
2025-12-09 12:30:00+00:00,6857.854,6859.399,6857.854,6858.899,0
2025-12-09 12:31:00+00:00,6859.199,6859.339,6857.651,6859.154,0
2025-12-09 12:32:00+00:00,6859.351,6859.654,6856.336,6856.636,0
2025-12-09 12:33:00+00:00,6856.348,6857.639,6855.833,6856.399,0
2025-12-09 12:34:00+00:00,6856.133,6856.133,6853.833,6854.354,0
2025-12-09 12:35:00+00:00,6854.654,6855.651,6854.145,6854.845,0
2025-12-09 12:36:00+00:00,6854.633,6854.633,6852.142,6852.354,0
2025-12-09 12:37:00+00:00,6852.651,6853.199,6851.339,6852.633,0
2025-12-09 12:38:00+00:00,6852.833,6853.699,6852.145,6852.845,0
2025-12-09 12:39:00+00:00,6853.148,6853.899,6852.651,6852.845,0
2025-12-09 12:40:00+00:00,6853.142,6853.854,6852.139,6852.651,0
2025-12-09 12:41:00+00:00,6852.336,6852.348,6851.199,6851.839,0
2025-12-09 12:42:00+00:00,6852.148,6852.399,6850.345,6850.651,0
2025-12-09 12:43:00+00:00,6850.342,6852.154,6850.145,6850.854,0
2025-12-09 12:44:00+00:00,6851.145,6852.345,6850.345,6851.842,0
2025-12-09 12:45:00+00:00,6851.639,6851.842,6850.639,6850.899,0
2025-12-09 12:46:00+00:00,6850.699,6850.833,6849.345,6849.839,0
2025-12-09 12:47:00+00:00,6849.654,6850.648,6849.336,6849.833,0
2025-12-09 12:48:00+00:00,6850.142,6851.199,6850.133,6850.148,0
2025-12-09 12:49:00+00:00,6849.648,6849.851,6847.842,6848.351,0
2025-12-09 12:50:00+00:00,6848.136,6850.345,6848.136,6849.899,0
2025-12-09 12:51:00+00:00,6850.199,6850.848,6849.133,6849.133,0
2025-12-09 12:52:00+00:00,6848.842,6849.145,6847.342,6847.845,0
2025-12-09 12:53:00+00:00,6848.154,6850.199,6847.842,6850.142,0
2025-12-09 12:54:00+00:00,6850.399,6850.848,6849.639,6850.648,0
2025-12-09 12:55:00+00:00,6850.854,6852.351,6850.639,6851.654,0
2025-12-09 12:56:00+00:00,6851.348,6852.348,6850.399,6851.654,0
2025-12-09 12:57:00+00:00,6851.351,6852.851,6851.145,6851.336,0
2025-12-09 12:58:00+00:00,6851.633,6853.648,6851.633,6852.839,0
2025-12-09 12:59:00+00:00,6853.139,6854.339,6853.139,6853.842,0
2025-12-09 13:00:00+00:00,6853.699,6853.899,6852.148,6853.899,0
2025-12-09 13:01:00+00:00,6854.142,6854.142,6852.199,6852.642,0
2025-12-09 13:02:00+00:00,6852.554,6854.151,6852.333,6854.151,0
2025-12-09 13:03:00+00:00,6853.833,6855.151,6853.633,6854.899,0
2025-12-09 13:04:00+00:00,6855.145,6855.836,6854.399,6854.639,0
2025-12-09 13:05:00+00:00,6854.145,6854.854,6853.642,6853.851,0
2025-12-09 13:06:00+00:00,6854.139,6854.139,6852.642,6852.642,0
