timestamp,open,high,low,close,volume
2025-12-08 08:04:00+00:00,98.925,98.93,98.925,98.93,0
2025-12-08 08:05:00+00:00,98.936,98.936,98.923,98.923,0
2025-12-08 08:06:00+00:00,98.916,98.916,98.907,98.907,0
2025-12-08 08:07:00+00:00,98.903,98.909,98.903,98.904,0
2025-12-08 08:08:00+00:00,98.902,98.906,98.896,98.897,0
2025-12-08 08:09:00+00:00,98.897,98.906,98.896,98.902,0
2025-12-08 08:10:00+00:00,98.903,98.903,98.891,98.894,0
2025-12-08 08:11:00+00:00,98.891,98.891,98.878,98.879,0
2025-12-08 08:12:00+00:00,98.881,98.896,98.881,98.895,0
2025-12-08 08:13:00+00:00,98.892,98.901,98.891,98.891,0
2025-12-08 08:14:00+00:00,98.9,98.9,98.893,98.893,0
2025-12-08 08:15:00+00:00,98.89,98.906,98.888,98.899,0
2025-12-08 08:16:00+00:00,98.894,98.897,98.884,98.892,0
2025-12-08 08:17:00+00:00,98.888,98.914,98.886,98.886,0
2025-12-08 08:18:00+00:00,98.896,98.896,98.888,98.892,0
2025-12-08 08:19:00+00:00,98.881,98.892,98.881,98.888,0
2025-12-08 08:20:00+00:00,98.888,98.895,98.888,98.893,0
2025-12-08 08:21:00+00:00,98.893,98.897,98.881,98.884,0
2025-12-08 08:22:00+00:00,98.887,98.897,98.886,98.887,0
2025-12-08 08:23:00+00:00,98.894,98.908,98.886,98.908,0
2025-12-08 08:24:00+00:00,98.902,98.908,98.902,98.907,0
2025-12-08 08:25:00+00:00,98.908,98.908,98.894,98.894,0
2025-12-08 08:26:00+00:00,98.9,98.9,98.888,98.892,0
2025-12-08 08:27:00+00:00,98.898,98.907,98.898,98.907,0
2025-12-08 08:28:00+00:00,98.906,98.909,98.896,98.901,0
2025-12-08 08:29:00+00:00,98.903,98.919,98.903,98.918,0
2025-12-08 08:30:00+00:00,98.919,98.926,98.909,98.926,0
2025-12-08 08:31:00+00:00,98.92,98.937,98.92,98.937,0
2025-12-08 08:32:00+00:00,98.932,98.937,98.927,98.937,0
